iter	Passed	Remaining
871	6538	959
872	6545	952
873	6553	944
874	6560	937
875	6567	929
876	6575	922
877	6582	914
878	6590	907
879	6597	899
880	6605	892
881	6612	884
882	6620	877
883	6628	869
884	6635	862
885	6643	854
886	6651	847
887	6659	839
888	6666	832
889	6674	824
890	6683	817
891	6690	810
892	6699	802
893	6709	795
894	6720	788
895	6728	781
896	6737	773
897	6746	766
898	6754	758
899	6763	751
900	6771	744
901	6779	736
902	6786	729
903	6794	721
904	6807	714
905	6815	707
906	6822	699
907	6831	692
908	6839	684
909	6847	677
910	6855	669
911	6863	662
912	6870	654
913	6879	647
914	6886	639
915	6894	632
916	6901	624
917	6909	617
918	6917	609
919	6924	602
920	6932	594
921	6939	587
922	6947	579
923	6954	571
924	6961	564
925	6969	556
926	6976	549
927	6984	541
928	6992	534
929	7000	526
930	7007	519
931	7015	511
932	7022	504
933	7030	496
934	7038	489
935	7044	481
936	7052	474
937	7059	466
938	7067	459
939	7074	451
940	7082	444
941	7090	436
942	7097	429
943	7105	421
944	7112	413
945	7119	406
946	7129	398
947	7136	391
948	7144	383
949	7151	376
950	7159	368
951	7166	361
952	7173	353
953	7181	346
954	7188	338
955	7197	331
956	7204	323
957	7212	316
958	7220	308
959	7227	301
960	7235	293
961	7242	286
962	7250	278
963	7258	271
964	7264	263
965	7272	255
966	7279	248
967	7287	240
968	7295	233
969	7301	225
970	7309	218
971	7316	210
972	7323	203
973	7330	195
974	7338	188
975	7345	180
976	7353	173
977	7360	165
978	7367	158
979	7375	150
980	7382	142
981	7390	135
982	7397	127
983	7405	120
984	7413	112
985	7420	105
986	7428	97
987	7435	90
988	7443	82
989	7450	75
990	7458	67
991	7464	60
992	7472	52
993	7480	45
994	7487	37
995	7495	30
996	7502	22
997	7510	15
998	7517	7
999	7524	0
